Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"The Way Down","Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106277533/the-way-down,1.3,-1,Boulder,V-easy,1,10,37.33004,-118.57901
"East Face","Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107253304/east-face,1.9,-1,Boulder,V-easy,1,,37.32859,-118.57516
"Problem A","Roadside Boulder > Roadside Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936160/problem-a,1.7,-1,Boulder,V-easy,1,,37.3282,-118.5761
"Choke the Chicken","Chicken Head Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/116715444/choke-the-chicken,2.0,-1,Boulder,V-easy,1,15,37.31826,-118.5744
"Unnamed VB","Fear Of A Black Planet Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114241135/unnamed-vb,2.0,-1,Boulder,V-easy,1,,37.32093,-118.57408
"Fear of a Black Planet","Fear Of A Black Planet Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114241141/fear-of-a-black-planet,2.5,-1,Boulder,V-easy,1,,37.32093,-118.57408
"Unnamed VB","Small Fruit Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114241186/unnamed-vb,2.0,-1,Boulder,V-easy,1,,37.32093,-118.57407
"Knobs and Flake","Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114054770/knobs-and-flake,1.0,-1,Boulder,V-easy,1,,37.31829,-118.5863
Downclimb,"Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114054774/downclimb,1.0,-1,Boulder,V-easy,1,,37.31829,-118.5863
"Unnamed  1","Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107032776/unnamed-1,2.2,-1,Boulder,V0-,1,18,37.32859,-118.57516
"Unnamed  2","Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107032780/unnamed-2,2.8,-1,Boulder,V0-,1,18,37.32859,-118.57516
"Problem B","Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322572/problem-b,1.8,-1,Boulder,V0-,1,12,37.32873,-118.57534
"Hip Hop Hager","Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107519098/hip-hop-hager,1.6,-1,Boulder,V0-,1,16,37.33014,-118.57777
"Unknown V0/V1","The Loaf > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106442771/unknown-v0v1,1.8,-1,Boulder,V0-,1,12,37.33022,-118.57882
"Problem A","Fit Homeless Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106060959/problem-a,1.7,-1,Boulder,V0-,1,,37.32895,-118.57595
"Problem C","Fit Homeless Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106060972/problem-c,1.5,-1,Boulder,V0-,1,,37.32895,-118.57595
"Xenolith Slab","Agent Orange Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/116715297/xenolith-slab,2.0,-1,Boulder,V0-,1,10,37.31821,-118.57395
"Knob Slab","Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114054760/knob-slab,2.0,-1,Boulder,V0-,1,,37.31829,-118.5863
"Backside Crack","Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108010816/backside-crack,2.3,-1,Boulder,V0,1,20,37.3388,-118.5776
"Burned and Bare","Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108880968/burned-and-bare,2.7,-1,Boulder,V0,1,15,37.3388,-118.5776
"Original Line","Lidija / Pollen Grain Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108054564/original-line,3.1,-1,Boulder,V0,1,35,37.3377,-118.5701
"Vic's Demise","Mead Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/111450402/vics-demise,3.0,-1,Boulder,"V0 X",1,35,37.3378,-118.572
"Essential Peabody","Grandma Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106395083/essential-peabody,3.1,-1,Boulder,V0,1,40,37.32837,-118.57479
"Advanced Rockcraft Arete","Grandpa Peabody Boulder > Peabody Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109526745/advanced-rockcraft-arete,3.5,-1,Boulder,"5.8+ V0 X",1,50,37.32817,-118.57477
"Problem A","Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106277503/problem-a,1.4,-1,Boulder,V0,1,12,37.33004,-118.57901
"Birthday Mantel","Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106277514/birthday-mantel,2.5,-1,Boulder,V0,1,12,37.33004,-118.57901
"Problem B","Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106277521/problem-b,2.1,-1,Boulder,V0,1,12,37.33004,-118.57901
"Robinson's Rubber Tester","Robinson's Rubber Tester Boulder > Cave Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936126/robinsons-rubber-tester,3.3,-1,Boulder,V0,1,,37.32867,-118.57681
"Unnamed  3","Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107032785/unnamed-3,2.5,-1,Boulder,V0,1,18,37.32859,-118.57516
"Problem A","Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322566/problem-a,2.0,-1,Boulder,V0,1,15,37.32873,-118.57534
"Hager Arete","Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936748/hager-arete,2.6,-1,Boulder,V0,1,15,37.33014,-118.57777
"Unnamed Arete","Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936754/unnamed-arete,1.7,-1,Boulder,V0,1,20,37.33014,-118.57777
Unnmed,"Hager Boulder > Iron Man East Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/111731481/unnmed,1.9,-1,Boulder,V0,1,15,37.33014,-118.57777
"Hero Roof","Hero  Roof Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106094805/hero-roof,3.4,-1,Boulder,V0,1,14,37.33,-118.5782
"Problem D","Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936776/problem-d,1.9,-1,Boulder,V0,1,,37.32964,-118.57869
"Problem G","Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/105936802/problem-g,1.6,-1,Boulder,V0,1,,37.32964,-118.57869
"Problem H","Ranger Rock > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106060929/problem-h,1.4,-1,Boulder,V0,1,,37.32964,-118.57869
"Tall Edgy","Saigon Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/115681932/tall-edgy,2.5,-1,Boulder,V0,1,24,37.32944,-118.57548
"Five and Dime Left","Stained Glass/Flyboy Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107204109/five-and-dime-left,1.1,-1,Boulder,V0,1,,37.33057,-118.57834
"Five and Dime Right","Stained Glass/Flyboy Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107204124/five-and-dime-right,1.0,-1,Boulder,V0,1,,37.33057,-118.57834
"Northwest Flake","Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322549/northwest-flake,2.1,-1,Boulder,V0,1,12,37.329,-118.5773
"Howard Carter","Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107983686/howard-carter,1.7,-1,Boulder,V0,1,,37.329,-118.5773
"Egypt (crack)","Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/110802913/egypt-crack,1.4,-1,Boulder,V0,1,,37.329,-118.5773
"Problem B","Fit Homeless Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106060967/problem-b,1.5,-1,Boulder,V0,1,,37.32895,-118.57595
"Problem D","Fit Homeless Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106060977/problem-d,1.4,-1,Boulder,V0,1,,37.32895,-118.57595
"Unnamed Slab/Arete","Buttermilk Stem Boulder > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106130723/unnamed-slabarete,2.5,-1,Boulder,V0,1,18,37.32906,-118.5768
"Problem C","Rowell Rock > Buttermilk Stem Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106336055/problem-c,2.4,-1,Boulder,V0,1,25,37.32878,-118.57687
"Left Facing Arete","Corner Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114316077/left-facing-arete,2.5,-1,Boulder,V0,1,12,37.32909,-118.57791
"Unnamed V0","Boy and Girl Rocks > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106442728/unnamed-v0,2.4,-1,Boulder,V0,1,20,37.32993,-118.57853
"Yo! Basecamp","Womb Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114076356/yo-basecamp,2.3,-1,Boulder,V0,1,10,37.329,-118.57473
"Tricky Grain","Small Fruit Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114241167/tricky-grain,0.0,-1,Boulder,V0,1,,37.32093,-118.57407
Scoopy-Doo,"Small Fruit Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114241182/scoopy-doo,2.0,-1,Boulder,V0,1,,37.32093,-118.57407
"Natural Melody","Natural Melody Boulder > Secrets of the Beehive Area > Beehive Area > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112499885/natural-melody,2.5,-1,Boulder,"V0 PG13",1,30,37.33676,-118.57615
"Lifeguard Fantasy","Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114054347/lifeguard-fantasy,2.0,-1,Boulder,"V0 PG13",1,18,37.31829,-118.5863
"Problem C","Tut Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106322544/problem-c,2.1,-1,Boulder,V0+,1,12,37.329,-118.5773
"Unnamed Arete","Corner Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106395524/unnamed-arete,2.5,-1,Boulder,V0+,1,12,37.32909,-118.57791
"West Arete","Pope's Hat > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107043966/west-arete,2.8,-1,"Trad, Boulder",V0+,1,,37.33013,-118.5785
Sketchpad,"Sherman Acres > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107460413/sketchpad,3.8,-1,Boulder,"V0+ R",1,30,37.2991,-118.5955
"The Flake Crack","The Flake Crack Boulder > Secrets of the Beehive Area > Beehive Area > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112499931/the-flake-crack,3.0,-1,Boulder,V0-1,1,40,37.33711,-118.5759
"Roadside Crack","Get Carter Boulder > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107956819/roadside-crack,2.4,-1,Boulder,V1,1,20,37.3388,-118.5776
"John Bachar Memorial Problem","White Slab Boulder > Pollen Grains / Lidija Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112252165/john-bachar-memorial-problem,4.0,-1,Boulder,"V1 R",1,25,37.33744,-118.57356
"Birthday Left","Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106027080/birthday-left,2.2,-1,Boulder,V1,1,10,37.33004,-118.57901
"The Prow Stand Start","Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/114341764/the-prow-stand-start,2.7,-1,Boulder,V1,1,16,37.33004,-118.57901
"Good Morning Sunshine","Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106094043/good-morning-sunshine,3.1,-1,Boulder,"V1 PG13",1,22,37.32859,-118.57516
"Unnamed 4","Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107987316/unnamed-4,1.7,-1,Boulder,V1,1,15,37.32859,-118.57516
"Unnamed 5","Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107987323/unnamed-5,2.2,-1,Boulder,V1,1,15,37.32859,-118.57516
"Green Wall Arete","Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106093952/green-wall-arete,2.4,-1,Boulder,V1,1,20,37.32873,-118.57534
"Blue Ball Existential","Green Wall Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112826595/blue-ball-existential,2.5,-1,Boulder,V1,1,15,37.32873,-118.57534
"Problem C","Roadside Boulder > Roadside Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107987405/problem-c,1.1,-1,Boulder,V1,1,12,37.3282,-118.5761
"Problem A","Scoop Boulder > Roadside Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107987380/problem-a,2.0,-1,Boulder,V1,1,12,37.3282,-118.5762
"Rib, No Rib","Hero  Roof Boulder > Iron Man Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/111729554/rib-no-rib,2.5,-1,Boulder,V1,1,12,37.33,-118.5782
