Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Problem A","Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107203708/problem-a,1.6,-1,Boulder,V-easy,1,,37.30698,-118.43702
"Problem B","Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107203712/problem-b,1.6,-1,Boulder,V-easy,1,,37.30698,-118.43702
"Tribal Wisdom","Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107032674/tribal-wisdom,2.0,-1,Boulder,"V-easy R",1,20,37.30744,-118.43635
Downclimb,"Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108593006/downclimb,2.0,-1,Boulder,V-easy,1,18,37.30744,-118.43635
Quadraphenia,"Morning Glory Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109724224/quadraphenia,2.0,-1,Boulder,V-easy,1,25,37.30808,-118.43306
"Problem C","What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109724323/problem-c,2.0,-1,Boulder,V-easy,1,12,37.30782,-118.43311
"Problem D","What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109724415/problem-d,2.0,-1,Boulder,V-easy,1,12,37.30782,-118.43311
"Problem A","Outer Banks Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109724456/problem-a,1.0,-1,Boulder,V-easy,1,10,37.30774,-118.43238
"Problem B","Leaning Tower Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109724474/problem-b,1.0,-1,Boulder,V-easy,1,10,37.30769,-118.43245
"Problem B","Patina Slab > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109724493/problem-b,1.0,-1,Boulder,V-easy,1,10,37.30754,-118.43258
Scales,"Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109731502/scales,2.0,-1,Boulder,V-easy,1,,37.30749,-118.43253
"The Eyes","Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109731518/the-eyes,3.0,-1,Boulder,V-easy,1,12,37.30749,-118.43253
"Problem B","Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109731525/problem-b,2.0,-1,Boulder,V-easy,1,10,37.30749,-118.43253
"Lip Traverse","Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109731541/lip-traverse,2.0,-1,Boulder,V-easy,1,15,37.30749,-118.43253
"Norse Crack","Norse Boulder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108538714/norse-crack,1.0,-1,Boulder,V-easy,1,10,37.30705,-118.43774
"Problem A","Norse Boulder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/112792995/problem-a,1.0,-1,Boulder,V-easy,1,8,37.30705,-118.43774
Galar,"Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108593116/galar,2.0,-1,Boulder,V-easy,1,16,37.30776,-118.4374
"Problem C","Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108593139/problem-c,1.0,-1,Boulder,"V-easy PG13",1,20,37.30776,-118.4374
Goi,"Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108620978/goi,2.0,-1,Boulder,V-easy,1,15,37.30716,-118.43604
Frilla,"Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108620984/frilla,1.0,-1,Boulder,V-easy,1,12,37.30716,-118.43604
"Problem B","Helluland > Helluland Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108620995/problem-b,1.0,-1,Boulder,V-easy,1,12,37.30716,-118.43604
"Everlasting Soul","Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108592991/everlasting-soul,2.0,-1,Boulder,"V0- R",1,20,37.30744,-118.43635
"Problem A","Leaning Tower Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109724468/problem-a,1.0,-1,Boulder,V0-,1,10,37.30769,-118.43245
"Problem A","Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109731467/problem-a,1.0,-1,Boulder,V0-,1,10,37.30749,-118.43253
Dermatitis,"Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109731485/dermatitis,2.0,-1,Boulder,V0-,1,12,37.30749,-118.43253
"Erik Bloody Axe","The Long Ship > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107530064/erik-bloody-axe,1.0,-1,Boulder,V0-,1,15,37.30703,-118.43756
"Problem A","Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108593124/problem-a,1.0,-1,Boulder,V0-,1,16,37.30776,-118.4374
"Wicca Tower","Wicca Tower > Wave Boulder Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/107530006/wicca-tower,2.0,-1,Boulder,V0-,1,20,37.3076,-118.43503
"Sun Circle","Ice Flow > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/108620905/sun-circle,2.0,-1,Boulder,V0,1,18,37.30718,-118.43633
"Mothers of Perpetual Indulgence","Hall of the Mountain Queens > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/109724177/mothers-of-perpetual-indulgence,2.6,-1,Boulder,V0,1,12,37.30792,-118.43255
