,Route,ID,Avg Stars,Grade,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks,Log StarRatings,Log Ticks,Log Avg Stars,Log Length,Log Grade,Log OnToDoLists,Sqrt StarRatings,Sqrt Ticks,Sqrt Avg Stars,Sqrt Length,Sqrt Grade
0,The Way Down,106277533,1.3,-1.0,10.0,37.33004,-118.57901,30,5,8,52,1.4913616938342726,1.724275869600789,0.3617278360175928,1.041392685158225,0.0,0.9542425094393249,5.477225575051661,7.211102550927978,1.140175425099138,3.1622776601683795,0.0
1,Choke the Chicken,116715444,2.0,-1.0,15.0,37.31826,-118.5744,1,1,0,1,0.30102999566398114,0.30102999566398114,0.47712125471966244,1.2041199826559246,0.0,0.0,1.0,1.0,1.4142135623730951,3.872983346207417,0.0
2,Unnamed  1,1070327761,2.2,-0.25,18.0,37.32859000000001,-118.57516,41,6,11,87,1.6232492903979003,1.9444826721501687,0.5051499783199059,1.2787536009528289,0.24303804868629442,1.0791812460476247,6.4031242374328485,9.327379053088816,1.4832396974191326,4.242640687119285,0.8660254037844386
3,Unnamed  2,1070327802,2.8,-0.25,18.0,37.32859000000001,-118.57516,84,20,49,168,1.9294189257142926,2.2278867046136734,0.57978359661681,1.2787536009528289,0.24303804868629442,1.6989700043360185,9.16515138991168,12.96148139681572,1.6733200530681511,4.242640687119285,0.8660254037844386
4,Problem B,106322572,1.8,-0.25,12.0,37.32873,-118.57534,46,15,12,102,1.6720978579357173,2.012837224705172,0.44715803134221915,1.1139433523068367,0.24303804868629442,1.1139433523068367,6.782329983125268,10.099504938362077,1.3416407864998738,3.4641016151377544,0.8660254037844386
5,Hip Hop Hager,107519098,1.6,-0.25,16.0,37.33014,-118.57777,5,1,2,4,0.7781512503836435,0.6989700043360187,0.4149733479708179,1.2304489213782739,0.24303804868629442,0.47712125471966244,2.23606797749979,2.0,1.2649110640673518,4.0,0.8660254037844386
6,Unknown V0/V1,10644277101,1.8,-0.25,12.0,37.33022,-118.57882,8,1,7,28,0.9542425094393249,1.462397997898956,0.44715803134221915,1.1139433523068367,0.24303804868629442,0.9030899869919434,2.8284271247461903,5.291502622129181,1.3416407864998738,3.4641016151377544,0.8660254037844386
7,Xenolith Slab,116715297,2.0,-0.25,10.0,37.31821,-118.57395,1,1,0,1,0.30102999566398114,0.30102999566398114,0.47712125471966244,1.041392685158225,0.24303804868629442,0.0,1.0,1.0,1.4142135623730951,3.1622776601683795,0.8660254037844386
8,Backside Crack,108010816,2.3,0.0,20.0,37.3388,-118.5776,31,6,5,35,1.5051499783199058,1.556302500767287,0.5185139398778874,1.322219294733919,0.30102999566398114,0.7781512503836435,5.5677643628300215,5.916079783099616,1.51657508881031,4.47213595499958,1.0
9,Burned and Bare,108880968,2.7,0.0,15.0,37.3388,-118.5776,12,3,2,9,1.1139433523068367,1.0,0.568201724066995,1.2041199826559246,0.30102999566398114,0.47712125471966244,3.4641016151377544,3.0,1.6431676725154984,3.872983346207417,1.0
10,Original Line,108054564,3.1,0.0,35.0,37.3377,-118.5701,17,6,25,23,1.2552725051033058,1.380211241711606,0.6127838567197355,1.556302500767287,0.30102999566398114,1.414973347970818,4.123105625617661,4.795831523312719,1.760681686165901,5.916079783099616,1.0
11,Vic's Demise,111450402,3.0,0.25,35.0,37.3378,-118.572,3,2,6,2,0.6020599913279623,0.47712125471966244,0.6020599913279623,1.556302500767287,0.3521825181113625,0.8450980400142567,1.7320508075688772,1.4142135623730951,1.7320508075688772,5.916079783099616,1.118033988749895
12,Essential Peabody,106395083,3.1,0.0,40.0,37.32837,-118.57479,63,18,124,84,1.8061799739838869,1.9294189257142926,0.6127838567197355,1.6127838567197355,0.30102999566398114,2.0969100130080562,7.937253933193772,9.16515138991168,1.760681686165901,6.324555320336759,1.0
13,Advanced Rockcraft Arete,109526745,3.5,0.25,50.0,37.32817,-118.57477,16,6,44,11,1.2304489213782739,1.0791812460476247,0.6532125137753436,1.7075701760979363,0.3521825181113625,1.6532125137753435,4.0,3.3166247903554,1.8708286933869707,7.0710678118654755,1.118033988749895
14,Problem A,106277503,1.4,0.0,12.0,37.33004,-118.57901,17,3,14,30,1.2552725051033058,1.4913616938342726,0.380211241711606,1.1139433523068367,0.30102999566398114,1.1760912590556811,4.123105625617661,5.477225575051661,1.1832159566199232,3.4641016151377544,1.0
15,Birthday Mantel,106277514,2.5,0.0,12.0,37.33004,-118.57901,89,21,79,153,1.9542425094393248,2.187520720836463,0.5440680443502756,1.1139433523068367,0.30102999566398114,1.9030899869919433,9.433981132056603,12.36931687685298,1.5811388300841898,3.4641016151377544,1.0
