,Route,ID,Avg Stars,Grade,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks,Log StarRatings,Log Ticks,Log Avg Stars,Log Length,Log Grade,Log OnToDoLists,Sqrt StarRatings,Sqrt Ticks,Sqrt Avg Stars,Sqrt Length,Sqrt Grade
0,Sweetie Pie,106649376,2.8,-1.0,18.0,33.998020000000004,-116.15351000000001,69,13,208,159,1.845098040014257,2.2041199826559246,0.57978359661681,1.2787536009528289,0.0,2.320146286111054,8.306623862918075,12.609520212918492,1.6733200530681511,4.242640687119285,0.0
1,Alright Arete,105798072,2.6,-0.75,22.0,33.99638,-116.15553,5,2,10,4,0.7781512503836435,0.6989700043360187,0.5563025007672872,1.3617278360175928,0.0969100130080564,1.041392685158225,2.23606797749979,2.0,1.61245154965971,4.69041575982343,0.5
2,OK Face,105798075,1.0,-0.75,18.0,33.99638,-116.15553,5,2,4,4,0.7781512503836435,0.6989700043360187,0.30102999566398114,1.2787536009528289,0.0969100130080564,0.6989700043360187,2.23606797749979,2.0,1.0,4.242640687119285,0.5
4,Sportin' Wood,106641442,1.5,-1.0,13.0,33.9966,-116.1554,4,3,10,6,0.6989700043360187,0.8450980400142567,0.3979400086720376,1.1461280356782377,0.0,1.041392685158225,2.0,2.449489742783178,1.224744871391589,3.605551275463989,0.0
5,Wood Rasp Arete,106642099,0.5,-1.0,12.0,33.9966,-116.1554,2,2,4,1,0.47712125471966244,0.30102999566398114,0.17609125905568124,1.1139433523068367,0.0,0.6989700043360187,1.4142135623730951,1.0,0.7071067811865476,3.4641016151377544,0.0
6,Diamonds and Guns,106655047,1.0,-1.0,10.0,33.9966,-116.1554,2,2,5,2,0.47712125471966244,0.47712125471966244,0.30102999566398114,1.041392685158225,0.0,0.7781512503836435,1.4142135623730951,1.4142135623730951,1.0,3.1622776601683795,0.0
7,California Babylon,106655057,2.0,-1.0,10.0,33.9966,-116.1554,1,1,9,0,0.30102999566398114,0.0,0.47712125471966244,1.041392685158225,0.0,1.0,1.0,0.0,1.4142135623730951,3.1622776601683795,0.0
8,Rip it Up,106670096,1.0,-1.0,14.0,33.9966,-116.1554,2,2,3,2,0.47712125471966244,0.47712125471966244,0.30102999566398114,1.1760912590556811,0.0,0.6020599913279623,1.4142135623730951,1.4142135623730951,1.0,3.7416573867739413,0.0
9,Creatures,106670111,0.5,-1.0,14.0,33.9966,-116.1554,2,2,2,2,0.47712125471966244,0.47712125471966244,0.17609125905568124,1.1760912590556811,0.0,0.47712125471966244,1.4142135623730951,1.4142135623730951,0.7071067811865476,3.7416573867739413,0.0
10,Fedora,105725560,1.4,-1.0,10.0,33.98932,-116.16342,15,7,8,28,1.2041199826559246,1.462397997898956,0.380211241711606,1.041392685158225,0.0,0.9542425094393249,3.872983346207417,5.291502622129181,1.1832159566199232,3.1622776601683795,0.0
11,Porkpie,106159684,1.7,-1.0,12.0,33.98932,-116.16342,21,7,11,29,1.3424226808222062,1.4771212547196624,0.4313637641589873,1.1139433523068367,0.0,1.0791812460476247,4.58257569495584,5.385164807134504,1.3038404810405297,3.4641016151377544,0.0
12,Pillbox,106159689,1.5,-1.0,14.0,33.98932,-116.16342,16,7,8,18,1.2304489213782739,1.2787536009528289,0.3979400086720376,1.1760912590556811,0.0,0.9542425094393249,4.0,4.242640687119285,1.224744871391589,3.7416573867739413,0.0
13,Bowler,106567965,1.0,-1.0,12.0,33.98932,-116.16342,3,3,7,4,0.6020599913279623,0.6989700043360187,0.30102999566398114,1.1139433523068367,0.0,0.9030899869919434,1.7320508075688772,2.0,1.0,3.4641016151377544,0.0
14,Estimated Prophet,106318191,1.0,-1.0,15.0,33.98932,-116.16342,1,1,5,0,0.30102999566398114,0.0,0.30102999566398114,1.2041199826559246,0.0,0.7781512503836435,1.0,0.0,1.0,3.872983346207417,0.0
15,North Corner,106124525,1.0,-1.0,12.0,33.98964,-116.16301999999999,5,4,6,9,0.7781512503836435,1.0,0.30102999566398114,1.1139433523068367,0.0,0.8450980400142567,2.23606797749979,3.0,1.0,3.4641016151377544,0.0
16,White Crack,106161774,2.7,-1.0,15.0,33.98965,-116.16317,34,12,67,52,1.5440680443502754,1.724275869600789,0.568201724066995,1.2041199826559246,0.0,1.8325089127062362,5.830951894845301,7.211102550927978,1.6431676725154984,3.872983346207417,0.0
17,House Brew,106314695,1.3,-1.0,10.0,33.98932,-116.16342,9,5,5,16,1.0,1.2304489213782739,0.3617278360175928,1.041392685158225,0.0,0.7781512503836435,3.0,4.0,1.140175425099138,3.1622776601683795,0.0
18,Java Junkie,106314702,1.5,-1.0,10.0,33.98932,-116.16342,4,2,4,5,0.6989700043360187,0.7781512503836435,0.3979400086720376,1.041392685158225,0.0,0.6989700043360187,2.0,2.23606797749979,1.224744871391589,3.1622776601683795,0.0
