,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
0,Time To Play (Variation 1),Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275368/time-to-play-variation-1,0.7,-1,Boulder,V-easy,1,8.0,37.41632,-118.44928,3,1,2,6
1,All The Way Down,"More Water, Less Power Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106093066/all-the-way-down,1.7,-1,Boulder,V-easy,1,15.0,37.41724,-118.45103,20,5,7,50
2,Hydra Pilferers,"More Water, Less Power Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106131947/hydra-pilferers,1.4,-1,Boulder,V-easy,1,12.0,37.41724,-118.45103,26,10,4,51
3,Path,Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106093034/path,2.1,-1,Boulder,V-easy,1,20.0,37.41718,-118.45095,29,10,11,65
4,Which Road,Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106093041/which-road,2.1,-1,Boulder,V-easy,1,15.0,37.41718,-118.45095,94,28,56,218
5,Problem B,Flying Saucer Alcove > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997417/problem-b,1.0,-1,Boulder,V-easy,1,12.0,37.41675,-118.44941999999999,1,1,0,3
6,Toffee Crack,The Cracks On The Rim Right Side > Cracks On The Rim Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106977850/toffee-crack,1.7,-1,Boulder,V-easy,1,12.0,37.416540000000005,-118.44872,3,1,3,5
7,Problem A,Pig Pen Slab > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106273745/problem-a,1.4,-1,Boulder,V-easy,1,10.0,37.41525,-118.44878,5,2,2,15
8,Margo's Arete,Savannah Boulder > Savannah Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106132040/margos-arete,1.7,-1,Boulder,V-easy,1,10.0,37.418,-118.45200000000001,40,10,9,76
9,Weak as Piss,Coors Boulder > Split Melon Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107864789/weak-as-piss,0.9,-1,Boulder,V-easy,1,,37.41689,-118.4507,7,3,0,12
10,Time To Go,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275325/time-to-go,1.7,-1,Boulder,V0-,1,15.0,37.41632,-118.44928,6,1,5,9
11,Wolverine,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275332/wolverine,1.2,-1,Boulder,V0-,1,15.0,37.41632,-118.44928,6,1,6,10
12,Time To Play,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275356/time-to-play,2.1,-1,Boulder,V0-,1,10.0,37.41632,-118.44928,7,2,7,13
13,Time To Play - Variation 2,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275378/time-to-play-variation-2,1.0,-1,Boulder,V0-,1,10.0,37.41632,-118.44928,3,1,3,7
