star_ratings,suggested_ratings,on_to_do_lists,ticks
30,5,8,52
14,4,8,30
12,3,4,28
1,1,0,1
2,1,0,2
2,1,1,2
1,1,0,2
1,1,0,0
1,1,0,0
41,6,11,87
84,20,49,168
46,15,12,102
5,1,2,4
8,1,7,28
26,6,7,67
21,5,8,48
1,1,0,1
1,1,1,0
31,6,5,35
12,3,2,9
17,6,25,23
3,2,6,2
63,18,124,84
16,6,44,11
17,3,14,30
89,21,79,153
24,6,16,38
136,40,178,197
16,5,6,40
41,14,19,74
25,7,16,43
7,1,3,8
7,2,4,14
387,89,412,722
18,4,10,37
27,3,9,56
15,2,8,32
2,1,1,4
7,2,4,22
3,1,5,14
41,12,13,66
15,3,4,23
8,2,6,20
23,6,9,51
20,6,8,31
11,2,13,17
7,2,5,7
4,2,3,3
43,11,10,92
8,3,3,11
2,1,1,1
1,1,2,2
2,1,5,2
1,1,6,0
22,8,9,42
19,6,17,31
4,2,8,5
10,6,67,5
1,1,4,0
30,7,8,42
5,4,31,5
216,66,75,440
7,2,7,18
116,30,81,173
6,1,4,10
5,2,5,11
109,38,69,190
2,1,4,1
10,2,6,10
2,1,8,10
17,5,29,30
3,2,4,6
12,4,7,24
18,6,12,28
1,1,1,5
31,6,12,51
12,2,7,26
272,77,400,467
6,2,15,6
14,3,11,12
6,1,5,9
8,3,4,12
2,2,12,4
24,4,11,46
35,9,33,64
2,1,5,5
129,46,207,236
1,1,5,0
6,3,11,5
1,1,0,1
1,1,2,0
1,1,1,0
1,1,3,0
1,1,0,0
1,1,1,0
1,1,1,0
1,1,1,0
1,1,6,0
37,18,10,62
5,5,10,5
2,1,13,2
18,5,9,24
18,1,6,22
39,11,122,48
5,3,26,2
21,6,71,30
27,5,10,42
213,60,100,409
3,1,8,4
49,12,42,81
287,82,162,493
21,5,11,41
10,2,3,27
10,2,5,21
1,1,1,1
71,18,158,108
76,24,100,86
2,1,0,2
8,2,6,18
19,5,6,33
16,5,14,24
25,6,28,37
182,56,292,267
7,2,7,6
1,1,1,1
1,1,0,0
4,1,24,2
1,1,1,0
25,7,12,50
31,7,24,33
2,1,16,2
6,3,10,6
77,28,171,87
6,5,17,5
6,4,5,4
239,80,317,391
8,3,9,14
13,2,8,20
68,17,39,86
2,1,8,2
10,6,5,11
15,3,16,15
32,8,12,45
15,3,11,15
2,1,5,1
24,9,14,43
10,4,5,14
4,1,8,5
9,2,4,10
17,10,100,18
216,54,209,350
218,48,127,388
2,1,3,2
8,6,32,5
3,2,2,2
1,1,0,1
1,1,0,1
1,1,2,0
1,1,0,0
1,1,2,0
1,1,0,0
1,1,0,0
1,1,0,0
1,1,4,0
1,1,4,0
1,1,0,0
1,1,0,0
2,1,7,2
1,1,19,3
2,2,3,2
12,6,20,11
4,3,0,3
13,4,13,15
8,3,15,10
6,1,8,8
49,14,53,64
40,15,77,71
18,8,44,15
6,2,13,7
14,3,30,16
121,45,546,160
3,1,1,2
86,28,95,136
3,2,2,2
2,1,1,1
2,1,1,5
5,2,3,7
168,67,288,196
6,1,7,7
329,89,552,493
2,1,2,2
11,5,27,10
26,8,14,32
22,8,9,26
1,1,2,3
12,5,3,14
22,6,7,42
7,4,7,3
38,18,95,45
1,1,0,0
1,1,0,0
3,2,0,3
1,1,1,0
1,1,2,0
1,1,1,0
1,1,0,0
1,1,0,0
1,1,0,0
4,4,1,6
1,1,2,0
7,3,20,7
61,26,104,57
7,1,3,9
4,1,1,4
128,47,172,172
56,16,62,79
3,1,3,2
