star_ratings,suggested_ratings,on_to_do_lists,ticks
17,4,0,30
17,4,0,28
1,2,0,4
4,2,1,4
2,2,1,2
1,1,1,2
1,1,1,2
1,1,1,2
1,1,1,3
1,1,0,3
1,1,1,2
1,1,4,4
1,1,1,2
1,1,2,2
3,2,0,8
1,1,0,3
1,1,1,2
1,1,1,2
1,1,0,3
1,1,0,3
1,1,0,2
2,1,2,3
1,1,2,2
1,1,1,2
1,1,4,2
1,1,1,2
1,1,0,2
5,2,2,6
1,1,1,2
7,1,6,18
2,2,2,4
1,1,2,2
1,1,2,2
1,1,3,2
1,1,0,1
6,1,0,13
1,1,0,0
1,1,0,0
1,1,3,2
3,4,4,3
1,1,1,1
2,1,0,2
1,1,1,0
1,1,3,2
18,8,1,19
15,6,40,20
2,1,0,2
1,1,0,2
16,5,7,26
9,4,6,16
17,5,7,28
1,1,0,2
1,1,2,2
1,1,0,0
1,1,0,1
1,1,1,2
13,2,1,19
1,1,2,6
21,8,3,31
1,1,0,0
2,1,1,1
2,2,1,0
2,1,2,5
2,1,2,3
1,1,1,2
13,4,5,22
12,3,6,20
1,1,2,2
3,1,1,6
1,1,0,1
10,4,4,12
1,1,0,2
1,1,1,2
1,1,0,0
1,1,0,2
2,1,0,3
1,1,0,2
3,1,3,4
13,3,2,19
10,5,14,10
2,1,1,1
2,1,3,7
4,1,2,8
59,16,49,73
3,3,3,3
23,4,6,28
4,1,1,5
1,1,0,0
5,5,6,5
2,1,2,3
1,1,0,0
1,1,0,2
1,1,1,2
4,2,2,4
5,3,1,5
1,1,3,0
1,1,0,0
1,1,3,2
3,3,3,2
1,1,1,1
30,14,67,33
8,5,7,7
1,1,0,0
1,2,0,0
2,2,0,3
9,2,5,12
1,1,0,0
2,1,0,3
23,13,34,21
4,3,2,1
2,1,1,2
9,6,12,14
13,8,27,12
5,1,3,5
21,6,13,28
16,4,3,22
2,1,0,1
2,1,0,1
4,1,2,3
3,1,2,2
29,14,56,32
2,1,2,1
2,1,1,1
2,3,1,1
3,3,1,3
7,4,14,2
5,2,20,4
6,5,13,5
2,1,0,1
2,1,0,2
2,1,2,2
2,1,2,1
2,2,2,2
3,2,3,2
2,1,4,2
2,2,0,1
1,1,0,0
4,3,9,3
1,1,0,0
1,1,0,0
1,1,1,0
1,1,3,0
