star_ratings,suggested_ratings,on_to_do_lists,ticks
3,1,2,6
20,5,7,50
26,10,4,51
29,10,11,65
94,28,56,218
1,1,0,3
3,1,3,5
5,2,2,15
40,10,9,76
7,3,0,12
6,1,5,9
6,1,6,10
7,2,7,13
3,1,3,7
12,7,11,24
217,53,80,421
1,1,1,2
1,1,0,2
1,1,0,2
12,6,4,23
0,1,0,2
0,1,0,1
4,1,1,6
1,1,0,3
14,2,2,24
12,3,12,25
4,1,0,8
3,2,1,8
4,2,2,11
4,3,2,13
3,2,2,9
5,3,2,13
2,1,1,4
2,1,0,3
0,1,1,1
2,1,2,6
1,1,1,3
2,2,4,7
3,1,0,9
2,2,0,3
1,1,0,3
1,1,0,4
1,1,2,3
1,1,0,2
1,1,2,3
2,1,0,9
20,6,7,34
52,15,8,112
46,9,9,106
29,3,2,66
22,4,2,36
11,4,10,30
7,3,1,16
18,6,3,44
5,4,2,17
23,7,2,60
3,2,0,6
4,2,1,7
5,3,0,8
1,1,0,3
3,1,1,4
1,1,0,4
5,1,3,11
1,1,2,3
73,20,27,147
1,1,4,9
5,2,0,11
2,1,0,5
2,1,0,0
30,8,20,35
0,1,0,1
0,1,0,1
0,1,0,1
1,1,0,3
2,1,4,4
6,1,1,15
1,1,0,3
5,2,3,13
2,2,1,6
9,3,2,10
3,3,0,5
1,1,0,4
2,1,2,3
6,2,1,9
2,1,1,5
1,1,0,3
3,3,2,9
1,1,1,3
6,2,1,10
32,8,1,74
87,16,165,129
11,3,3,17
15,4,3,26
2,2,3,14
18,9,12,47
3,2,4,9
6,3,7,21
4,3,3,5
1,1,5,6
17,5,11,40
10,3,7,17
20,11,5,37
1,1,3,3
1,1,1,3
5,1,4,7
109,20,194,192
17,9,13,27
102,33,56,210
27,10,5,60
46,10,6,95
62,17,31,106
70,22,27,150
1,1,11,3
1,1,2,2
0,1,1,1
0,1,1,1
1,1,0,3
6,3,5,12
1,1,0,4
2,1,0,5
3,2,3,5
1,1,0,5
2,1,0,4
1,1,1,6
1,1,2,6
19,6,2,35
1,2,1,8
1,1,4,4
1,1,1,3
5,2,1,7
5,2,1,10
13,4,3,29
43,10,18,83
26,7,7,53
8,5,0,14
58,17,57,143
5,1,1,8
28,11,6,64
4,3,2,11
20,8,9,50
1,1,1,3
1,1,0,2
1,1,1,4
13,4,28,18
6,1,7,14
33,6,9,66
1,2,0,2
2,1,1,4
11,3,21,21
7,1,7,8
56,22,23,131
14,5,6,36
39,11,15,61
107,38,68,225
420,119,324,761
13,2,8,28
6,3,4,13
15,3,7,32
2,1,1,7
4,2,1,9
0,1,0,1
0,1,1,1
3,3,1,1
1,1,0,3
1,1,0,3
1,1,0,3
2,2,1,5
1,1,1,2
1,1,1,3
2,1,0,6
1,1,0,3
2,1,4,1
1,1,0,3
39,6,7,74
2,1,0,6
1,1,1,1
1,1,0,2
1,1,1,2
7,3,6,10
1,1,1,3
8,2,2,16
1,1,2,9
2,2,3,3
2,3,1,4
2,2,1,3
1,1,2,3
2,1,10,0
2,1,7,0
27,6,1,49
1,1,0,2
14,5,4,16
9,2,2,14
