star_ratings,suggested_ratings,on_to_do_lists,ticks
69,13,208,159
5,2,10,4
5,2,4,4
2,1,1,2
4,3,10,6
2,2,4,1
2,2,5,2
1,1,9,0
2,2,3,2
2,2,2,2
15,7,8,28
21,7,11,29
16,7,8,18
3,3,7,4
1,1,5,0
5,4,6,9
34,12,67,52
9,5,5,16
4,2,4,5
5,2,6,5
4,4,2,5
1,1,4,1
1,1,0,1
2,1,2,0
1,1,0,0
2,2,3,5
2,2,3,7
2,1,2,4
2,1,0,4
2,1,0,3
40,8,85,66
17,6,4,25
6,3,2,10
15,3,9,39
15,6,4,27
13,2,3,22
17,3,8,26
5,3,4,8
14,7,40,20
4,3,3,6
15,6,16,19
18,5,24,39
60,17,201,127
1,0,5,1
4,1,2,5
12,2,11,25
15,2,7,29
13,2,4,25
5,2,1,14
1,1,1,1
1,1,6,0
2,1,8,2
5,2,2,5
2,1,4,2
7,3,2,6
8,4,3,9
5,2,5,2
9,4,2,8
6,2,1,4
3,1,1,1
4,1,0,1
14,3,41,25
24,4,16,68
13,2,6,34
15,2,6,42
18,2,9,51
22,4,40,59
36,14,10,83
54,19,14,127
18,5,14,39
24,7,4,53
49,13,9,108
45,12,8,88
19,3,7,53
11,2,6,13
7,2,3,13
12,3,3,26
1,1,1,0
7,4,0,7
2,1,2,2
3,2,2,2
1,1,1,1
1,1,1,0
20,7,8,32
2,1,1,3
8,4,4,23
14,7,4,34
12,6,3,25
3,2,3,5
1,1,1,6
11,7,10,22
2,1,9,5
1,1,3,3
4,3,0,5
1,1,0,1
1,1,0,2
1,1,1,0
2,1,0,1
1,1,2,0
1,1,0,0
1,1,1,0
2,2,4,3
9,4,5,19
7,2,5,18
8,3,6,21
2,2,5,6
2,2,0,2
2,1,0,1
1,1,0,2
1,1,0,2
1,1,0,0
3,3,2,7
2,2,4,2
2,2,5,2
1,1,3,0
1,1,5,0
1,1,2,0
1,1,2,0
2,2,3,1
2,2,6,3
0,1,1,0
0,1,2,0
0,1,2,0
9,4,4,18
7,3,4,15
4,3,2,5
4,3,1,5
6,2,1,7
7,2,2,11
13,4,6,27
7,1,2,11
16,4,9,25
23,8,23,35
5,3,2,5
3,1,6,3
1,1,2,1
27,7,55,60
4,4,4,2
4,4,5,2
4,2,5,4
3,2,2,3
2,2,8,3
14,6,7,22
31,8,33,48
23,10,9,38
27,11,33,37
10,3,3,10
5,4,2,5
2,2,0,2
2,1,6,4
6,2,4,7
1,1,0,1
3,2,1,3
2,1,0,1
3,1,2,3
1,1,0,0
2,1,3,6
1,1,0,4
2,1,1,3
1,1,2,2
2,1,0,2
2,1,4,2
1,1,3,1
2,1,1,1
2,1,1,1
1,1,0,1
2,1,0,2
2,1,0,2
2,1,1,2
2,1,0,3
2,1,0,2
10,4,39,11
19,5,12,37
12,3,5,22
5,3,12,5
3,2,1,5
3,2,5,6
5,1,3,5
10,3,9,18
13,3,12,23
8,2,7,16
15,7,3,25
6,5,7,9
3,3,2,3
7,4,3,10
7,4,2,9
4,2,2,6
5,3,2,9
2,1,4,2
3,1,6,3
3,1,2,4
3,1,2,3
2,1,3,2
3,1,10,8
10,6,12,29
8,3,9,24
3,2,6,5
2,1,6,4
5,4,8,6
10,4,10,16
8,3,9,10
6,2,6,10
2,1,4,2
2,1,3,2
1,1,5,0
2,1,5,2
2,1,4,2
3,2,5,1
3,2,3,1
3,2,4,1
2,2,15,9
2,2,9,3
3,3,15,10
3,3,9,10
0,1,3,0
3,1,2,2
2,1,1,1
1,1,1,0
2,1,1,1
1,1,1,0
2,1,1,1
1,1,0,0
1,1,0,0
1,1,0,0
1,1,4,0
1,1,0,0
1,1,2,0
1,1,2,0
2,2,2,0
3,2,0,1
1,1,1,1
2,1,11,2
1,1,0,0
1,1,0,0
36,8,47,85
2,2,0,1
1,1,1,0
3,2,9,4
11,4,31,16
1,1,4,1
3,2,4,4
2,2,9,6
31,8,41,42
2,2,6,7
11,3,13,16
1,1,3,3
43,13,19,96
65,16,124,152
12,6,9,20
4,1,8,4
1,1,4,1
2,1,7,1
4,1,6,7
15,3,4,42
1,1,0,0
15,3,9,32
26,7,12,40
19,9,7,31
1,1,6,3
7,3,4,7
1,1,1,0
2,1,0,1
1,1,2,0
3,1,3,2
1,1,0,2
3,2,5,4
1,1,3,1
1,1,3,0
1,1,6,1
1,1,3,0
2,1,1,1
2,2,2,3
7,4,5,9
