Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Sweetie Pie,Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106649376/sweetie-pie,2.8,-1,Boulder,V-easy,1,18,33.99802,-116.15351
Alright Arete,OK Corridor > Planet X Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105798072/alright-arete,2.6,-1,Boulder,V-easy R,1,22,33.99638,-116.15553
OK Face,OK Corridor > Planet X Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105798075/ok-face,1,-1,Boulder,V-easy R,1,18,33.99638,-116.15553
Unnamed 5.7,The Wedge > Planet X Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/116187768/unnamed-57,2,-1,Boulder,V-easy,1,,33.99662,-116.15592
Sportin' Wood,The Wood Block > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106641442/sportin-wood,1.5,-1,Boulder,V-easy,1,13,33.9966,-116.1554
Wood Rasp Arete,The Wood Block > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106642099/wood-rasp-arete,0.5,-1,Boulder,V-easy,1,12,33.9966,-116.1554
Diamonds and Guns,Transplants Boulder > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106655047/diamonds-and-guns,1,-1,Boulder,V-easy,1,10,33.9966,-116.1554
California Babylon,Transplants Boulder > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106655057/california-babylon,2,-1,Boulder,V-easy,1,10,33.9966,-116.1554
Rip it Up,Adolescents Block > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106670096/rip-it-up,1,-1,Boulder,V-easy,1,14,33.9966,-116.1554
Creatures,Adolescents Block > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106670111/creatures,0.5,-1,Boulder,V-easy,1,14,33.9966,-116.1554
Fedora,The Hatrack > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105725560/fedora,1.4,-1,Boulder,V-easy,1,10,33.98932,-116.16342
Porkpie,The Hatrack > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106159684/porkpie,1.7,-1,Boulder,V-easy,1,12,33.98932,-116.16342
Pillbox,The Hatrack > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106159689/pillbox,1.5,-1,Boulder,V-easy,1,14,33.98932,-116.16342
Bowler,The Hatrack > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106567965/bowler,1,-1,Boulder,V-easy,1,12,33.98932,-116.16342
Estimated Prophet,Ayatollah Boulder > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106318191/estimated-prophet,1,-1,Boulder,V-easy,1,15,33.98932,-116.16342
