,Route,ID,Avg Stars,Grade,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
0,Sweetie Pie,106649376,2.8,-1,18.0,33.998020000000004,-116.15351,69,13,208,159
1,Alright Arete,105798072,2.6,-0.75,22.0,33.99638,-116.15553,5,2,10,4
2,OK Face,105798075,1.0,-0.75,18.0,33.99638,-116.15553,5,2,4,4
3,Unnamed 5.7,11618776857,2.0,-1,,33.99662,-116.15592,2,1,1,2
4,Sportin' Wood,106641442,1.5,-1,13.0,33.9966,-116.1554,4,3,10,6
5,Wood Rasp Arete,106642099,0.5,-1,12.0,33.9966,-116.1554,2,2,4,1
6,Diamonds and Guns,106655047,1.0,-1,10.0,33.9966,-116.1554,2,2,5,2
7,California Babylon,106655057,2.0,-1,10.0,33.9966,-116.1554,1,1,9,0
8,Rip it Up,106670096,1.0,-1,14.0,33.9966,-116.1554,2,2,3,2
9,Creatures,106670111,0.5,-1,14.0,33.9966,-116.1554,2,2,2,2
10,Fedora,105725560,1.4,-1,10.0,33.98932,-116.16342,15,7,8,28
11,Porkpie,106159684,1.7,-1,12.0,33.98932,-116.16342,21,7,11,29
12,Pillbox,106159689,1.5,-1,14.0,33.98932,-116.16342,16,7,8,18
13,Bowler,106567965,1.0,-1,12.0,33.98932,-116.16342,3,3,7,4
14,Estimated Prophet,106318191,1.0,-1,15.0,33.98932,-116.16342,1,1,5,0
15,North Corner,106124525,1.0,-1,12.0,33.98964,-116.16302,5,4,6,9
16,White Crack,106161774,2.7,-1,15.0,33.98965,-116.16317,34,12,67,52
17,House Brew,106314695,1.3,-1,10.0,33.98932,-116.16342,9,5,5,16
18,Java Junkie,106314702,1.5,-1,10.0,33.98932,-116.16342,4,2,4,5
19,West Face,106143774,1.4,-1,15.0,34.01258,-116.16828999999998,5,2,6,5
20,Descent Route,106143781,1.0,-1,18.0,34.01258,-116.16828999999998,4,4,2,5
21,Heart-On,106461617,1.0,-1,19.0,34.01258,-116.16828999999998,1,1,4,1
22,The Blazed Trail,106465584,1.0,-1,9.0,34.014309999999995,-116.17112,1,1,0,1
23,Van Gogh's Ear,106488621,1.0,-1,8.0,34.014309999999995,-116.17112,2,1,2,0
24,Deadwood Arete,106491348,1.0,-1,10.0,34.014309999999995,-116.17112,1,1,0,0
25,Moonglow,106625546,1.0,-1,12.0,34.014309999999995,-116.17112,2,2,3,5
26,V for Victory,106625551,1.0,-1,12.0,34.014309999999995,-116.17112,2,2,3,7
27,Golden Monkey,106625560,1.0,-1,12.0,34.014309999999995,-116.17112,2,1,2,4
28,Storm King,106625565,1.0,-1,12.0,34.014309999999995,-116.17112,2,1,0,4
29,Hop Devil,106632860,1.0,-1,12.0,34.014309999999995,-116.17112,2,1,0,3
30,Northwest Arete,106047068,2.4,-1,20.0,34.0099,-116.16866,40,8,85,66
31,Descent Route,106143792,1.5,-1,15.0,34.0099,-116.16866,17,6,4,25
32,Down with the Ship,106143754,1.3,-1,18.0,34.01102,-116.16606000000002,6,3,2,10
33,Turnbuckle Arete,106296025,1.9,-1,12.0,34.01102,-116.16606000000002,15,3,9,39
34,Turnbuckle Slab,106296817,1.8,-1,12.0,34.01102,-116.16606000000002,15,6,4,27
35,Turnbuckle Descent,106296822,1.6,-1,12.0,34.01102,-116.16606000000002,13,2,3,22
36,Descent Route,106117037,1.7,-1,20.0,34.00987,-116.16843,17,3,8,26
37,Flakey Boulder Right,106123991,1.2,-1,15.0,34.01001,-116.16739,5,3,4,8
38,Hot and Juicy,106126580,2.6,-1,17.0,34.01273,-116.16842,14,7,40,20
39,Fat Flake,106126617,1.5,-1,14.0,34.01273,-116.16842,4,3,3,6
40,South Face,106072550,1.4,-1,17.0,34.01428,-116.15827,15,6,16,19
41,Manx,106115224,1.9,-1,16.0,34.01428,-116.15827,18,5,24,39
42,The Womb,106051737,2.5,-1,13.0,34.01417,-116.15807,60,17,201,127
43,At Your Cervix,114302640,2.0,-1,20.0,34.01417,-116.15807,1,0,5,1
44,Unnamed .6,1144325366,1.3,-1,8.0,34.01398,-116.15439,4,1,2,5
