route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Behind the Mothership,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106340986/behind-the-mothership,1.8,-1,Boulder,V-easy,1,15,37.42254,-118.43364,106340986,-1,4,2,0,3
The Hysterical Bear Incident,Jerry Falwell Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642810/the-hysterical-bear-incident,1,-1,Boulder,V-easy,1,12,37.42324,-118.43279,106642810,-1,1,1,0,2
Low-Angle Arete,"Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637336/low-angle-arete,1.3,-1,Boulder,V-easy,1,10,37.42232,-118.43364,106637336,-1,12,3,0,19
Flush,"Eastern Rim > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669817/flush,2.7,-1,Boulder,V-easy,1,8,37.42232,-118.43364,106669817,-1,23,6,4,41
Hands On Slab,Water Colors Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106643024/hands-on-slab,2,-1,Boulder,V-easy,1,8,37.42112,-118.43318,106643024,-1,11,5,1,19
Flake,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106739980/flake,1.8,-1,Boulder,V-easy,1,10,37.4217,-118.43308,106739980,-1,4,1,0,9
Unnamed,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108593/unnamed,1.1,-1,Boulder,V0-,1,12,37.41759,-118.43276,106108593,-0.25,12,4,1,20
Brown Slab,Brown Slab > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108658/brown-slab,2.3,-1,Boulder,V0- PG13,1,15,37.4191,-118.434,106108658,-0.25,12,4,1,23
The Arete,Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106954490/the-arete,2.8,-1,Boulder,V0-,1,12,37.41759,-118.43276,106954490,-0.25,16,5,7,25
Fingercrack,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111648845/fingercrack,2.9,-1,Boulder,V0,1,15,37.42254,-118.43364,111648845,0,7,3,6,12
China Doll,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617251/china-doll,3.3,-1,Boulder,V0,1,18,37.42075,-118.43391,106617251,0,147,32,123,275
Girl Call,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107018232/girl-call,2.4,-1,Boulder,V0,1,20,37.42075,-118.43391,107018232,0,22,3,19,42
Mothers,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107566457/mothers,2.3,-1,Boulder,V0,1,,37.42075,-118.43391,107566457,0,33,5,6,63
Spacehopper,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108578/spacehopper,1.8,-1,Boulder,V0,1,15,37.41759,-118.43276,106108578,0,30,6,3,60
Bouncing Babies,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108586/bouncing-babies,1.5,-1,Boulder,V0,1,12,37.41759,-118.43276,106108586,0,30,11,2,55
Unnamed 1,Brown Slab > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108644/unnamed-1,2,-1,Boulder,V0,1,12,37.4191,-118.434,106108644,0,11,3,3,21
The Crack,The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642866/the-crack,1.4,-1,Boulder,V0,1,12,37.42324,-118.43279,106642866,0,5,1,0,8
Crack and Wall,The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642886/crack-and-wall,1.5,-1,Boulder,V0,1,12,37.42324,-118.43279,106642886,0,2,2,0,3
What Mick Missed,The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642896/what-mick-missed,1.5,-1,Boulder,V0,1,12,37.42324,-118.43279,106642896,0,2,1,0,3
Bishop Bomber / Pound Sign,Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642953/bishop-bomber-pound-sign,1,-1,Boulder,V0,1,12,37.42324,-118.43279,106642953,0,1,1,0,3
Caveat Emptor,Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642958/caveat-emptor,2,-1,Boulder,V0,1,12,37.42324,-118.43279,106642958,0,1,1,1,2
Teen Angst,Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642972/teen-angst,0,-1,Boulder,V0,1,12,37.42324,-118.43279,106642972,0,1,1,0,2
Lonely Teenage Bedroom,Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642980/lonely-teenage-bedroom,1,-1,Boulder,V0,1,12,37.42324,-118.43279,106642980,0,1,1,0,2
Funkadella Bdelia,"Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669872/funkadella-bdelia,1.7,-1,Boulder,V0,1,8,37.42232,-118.43364,106669872,0,23,7,1,48
Parliament,"Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669877/parliament,1.7,-1,Boulder,V0,1,8,37.42232,-118.43364,106669877,0,21,6,3,41
Problem A,"Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669883/problem-a,1.5,-1,Boulder,V0,1,8,37.42232,-118.43364,106669883,0,21,4,1,41
Hands Free Slab,Water Colors Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106643017/hands-free-slab,2.6,-1,Boulder,V0,1,8,37.42112,-118.43318,106643017,0,21,4,4,34
The Flake Crack,Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106954448/the-flake-crack,1,-1,Boulder,V0,1,15,37.41759,-118.43276,106954448,0,1,1,0,2
The Groove,Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106954482/the-groove,3.1,-1,Boulder,V0,1,12,37.41759,-118.43276,106954482,0,26,6,39,40
President Bush,White House Wall > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116664985/president-bush,3.6,-1,Boulder,V0,1,15,37.42048,-118.43303,116664985,0,5,3,1,3
Baby Tooth,The Bird Cage Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114197422/baby-tooth,2,-1,Boulder,V0,1,10,37.4217,-118.43308,114197422,0,4,2,1,5
