route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks,log_star_ratings,log_ticks,log_avg_stars,log_length,log_grade,log_on_to_do_lists,sqrt_star_ratings,sqrt_ticks,sqrt_avg_stars,sqrt_length,sqrt_grade
Behind the Mothership,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106340986/behind-the-mothership,1.8,-1,Boulder,V-easy,1,15.0,37.422540000000005,-118.43364,106340986,-1.0,4,2,0,3,0.6989700043360187,0.6020599913279623,0.44715803134221915,1.2041199826559246,0.0,0.0,2.0,1.7320508075688772,1.3416407864998738,3.872983346207417,0.0
The Hysterical Bear Incident,Jerry Falwell Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642810/the-hysterical-bear-incident,1.0,-1,Boulder,V-easy,1,12.0,37.42324,-118.43279,106642810,-1.0,1,1,0,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.1139433523068367,0.0,0.0,1.0,1.4142135623730951,1.0,3.4641016151377544,0.0
Low-Angle Arete,"Hauck a Loogie Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106637336/low-angle-arete,1.3,-1,Boulder,V-easy,1,10.0,37.42232,-118.43364,106637336,-1.0,12,3,0,19,1.1139433523068367,1.301029995663981,0.3617278360175928,1.041392685158225,0.0,0.0,3.4641016151377544,4.358898943540674,1.140175425099138,3.1622776601683795,0.0
Flush,"Eastern Rim > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669817/flush,2.7,-1,Boulder,V-easy,1,8.0,37.42232,-118.43364,106669817,-1.0,23,6,4,41,1.380211241711606,1.6232492903979003,0.568201724066995,0.9542425094393249,0.0,0.6989700043360187,4.795831523312719,6.4031242374328485,1.6431676725154984,2.8284271247461903,0.0
Hands On Slab,Water Colors Alcove > Pow Pow Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106643024/hands-on-slab,2.0,-1,Boulder,V-easy,1,8.0,37.42112,-118.43318000000001,106643024,-1.0,11,5,1,19,1.0791812460476247,1.301029995663981,0.47712125471966244,0.9542425094393249,0.0,0.30102999566398114,3.3166247903554,4.358898943540674,1.4142135623730951,2.8284271247461903,0.0
Flake,Sad Parrot Boulder > Sad Parrot Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106739980/flake,1.8,-1,Boulder,V-easy,1,10.0,37.4217,-118.43308,106739980,-1.0,4,1,0,9,0.6989700043360187,1.0,0.44715803134221915,1.041392685158225,0.0,0.0,2.0,3.0,1.3416407864998738,3.1622776601683795,0.0
Unnamed,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108593/unnamed,1.1,-1,Boulder,V0-,1,12.0,37.417590000000004,-118.43276000000002,106108593,-0.25,12,4,1,20,1.1139433523068367,1.322219294733919,0.32221929473391925,1.1139433523068367,0.24303804868629442,0.30102999566398114,3.4641016151377544,4.47213595499958,1.0488088481701516,3.4641016151377544,0.8660254037844386
Brown Slab,Brown Slab > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108658/brown-slab,2.3,-1,Boulder,V0- PG13,1,15.0,37.4191,-118.434,106108658,-0.25,12,4,1,23,1.1139433523068367,1.380211241711606,0.5185139398778874,1.2041199826559246,0.24303804868629442,0.30102999566398114,3.4641016151377544,4.795831523312719,1.51657508881031,3.872983346207417,0.8660254037844386
The Arete,Flake Boulder > Misery Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106954490/the-arete,2.8,-1,Boulder,V0-,1,12.0,37.417590000000004,-118.43276000000002,106954490,-0.25,16,5,7,25,1.2304489213782739,1.414973347970818,0.57978359661681,1.1139433523068367,0.24303804868629442,0.9030899869919434,4.0,5.0,1.6733200530681511,3.4641016151377544,0.8660254037844386
Fingercrack,Ice Caves > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/111648845/fingercrack,2.9,-1,Boulder,V0,1,15.0,37.422540000000005,-118.43364,111648845,0.0,7,3,6,12,0.9030899869919434,1.1139433523068367,0.5910646070264991,1.2041199826559246,0.30102999566398114,0.8450980400142567,2.6457513110645907,3.4641016151377544,1.70293863659264,3.872983346207417,1.0
China Doll,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106617251/china-doll,3.3,-1,Boulder,V0,1,18.0,37.42075,-118.43391000000001,106617251,0.0,147,32,123,275,2.170261715394957,2.4409090820652173,0.6334684555795864,1.2787536009528289,0.30102999566398114,2.093421685162235,12.12435565298214,16.583123951777,1.816590212458495,4.242640687119285,1.0
Girl Call,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107018232/girl-call,2.4,-1,Boulder,V0,1,20.0,37.42075,-118.43391000000001,107018232,0.0,22,3,19,42,1.3617278360175928,1.6334684555795864,0.531478917042255,1.322219294733919,0.30102999566398114,1.301029995663981,4.69041575982343,6.48074069840786,1.5491933384829668,4.47213595499958,1.0
Mothers,Molly Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107566457/mothers,2.3,-1,Boulder,V0,1,,37.42075,-118.43391000000001,107566457,0.0,33,5,6,63,1.5314789170422551,1.8061799739838869,0.5185139398778874,,0.30102999566398114,0.8450980400142567,5.744562646538029,7.937253933193772,1.51657508881031,,1.0
Spacehopper,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108578/spacehopper,1.8,-1,Boulder,V0,1,15.0,37.417590000000004,-118.43276000000002,106108578,0.0,30,6,3,60,1.4913616938342726,1.785329835010767,0.44715803134221915,1.2041199826559246,0.30102999566398114,0.6020599913279623,5.477225575051661,7.745966692414834,1.3416407864998738,3.872983346207417,1.0
Bouncing Babies,Central Joyless Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108586/bouncing-babies,1.5,-1,Boulder,V0,1,12.0,37.417590000000004,-118.43276000000002,106108586,0.0,30,11,2,55,1.4913616938342726,1.7481880270062005,0.3979400086720376,1.1139433523068367,0.30102999566398114,0.47712125471966244,5.477225575051661,7.416198487095663,1.224744871391589,3.4641016151377544,1.0
Unnamed 1,Brown Slab > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106108644/unnamed-1,2.0,-1,Boulder,V0,1,12.0,37.4191,-118.434,106108644,0.0,11,3,3,21,1.0791812460476247,1.3424226808222062,0.47712125471966244,1.1139433523068367,0.30102999566398114,0.6020599913279623,3.3166247903554,4.58257569495584,1.4142135623730951,3.4641016151377544,1.0
The Crack,The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642866/the-crack,1.4,-1,Boulder,V0,1,12.0,37.42324,-118.43279,106642866,0.0,5,1,0,8,0.7781512503836435,0.9542425094393249,0.380211241711606,1.1139433523068367,0.30102999566398114,0.0,2.23606797749979,2.8284271247461903,1.1832159566199232,3.4641016151377544,1.0
Crack and Wall,The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642886/crack-and-wall,1.5,-1,Boulder,V0,1,12.0,37.42324,-118.43279,106642886,0.0,2,2,0,3,0.47712125471966244,0.6020599913279623,0.3979400086720376,1.1139433523068367,0.30102999566398114,0.0,1.4142135623730951,1.7320508075688772,1.224744871391589,3.4641016151377544,1.0
What Mick Missed,The Snapper Boulder > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642896/what-mick-missed,1.5,-1,Boulder,V0,1,12.0,37.42324,-118.43279,106642896,0.0,2,1,0,3,0.47712125471966244,0.6020599913279623,0.3979400086720376,1.1139433523068367,0.30102999566398114,0.0,1.4142135623730951,1.7320508075688772,1.224744871391589,3.4641016151377544,1.0
Bishop Bomber / Pound Sign,Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642953/bishop-bomber-pound-sign,1.0,-1,Boulder,V0,1,12.0,37.42324,-118.43279,106642953,0.0,1,1,0,3,0.30102999566398114,0.6020599913279623,0.30102999566398114,1.1139433523068367,0.30102999566398114,0.0,1.0,1.7320508075688772,1.0,3.4641016151377544,1.0
Caveat Emptor,Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642958/caveat-emptor,2.0,-1,Boulder,V0,1,12.0,37.42324,-118.43279,106642958,0.0,1,1,1,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.1139433523068367,0.30102999566398114,0.30102999566398114,1.0,1.4142135623730951,1.4142135623730951,3.4641016151377544,1.0
Teen Angst,Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642972/teen-angst,0.0,-1,Boulder,V0,1,12.0,37.42324,-118.43279,106642972,0.0,1,1,0,2,0.30102999566398114,0.47712125471966244,0.0,1.1139433523068367,0.30102999566398114,0.0,1.0,1.4142135623730951,0.0,3.4641016151377544,1.0
Lonely Teenage Bedroom,Bomber Boulders > Prozac Nation Bluffs > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106642980/lonely-teenage-bedroom,1.0,-1,Boulder,V0,1,12.0,37.42324,-118.43279,106642980,0.0,1,1,0,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.1139433523068367,0.30102999566398114,0.0,1.0,1.4142135623730951,1.0,3.4641016151377544,1.0
Funkadella Bdelia,"Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669872/funkadella-bdelia,1.7,-1,Boulder,V0,1,8.0,37.42232,-118.43364,106669872,0.0,23,7,1,48,1.380211241711606,1.6901960800285134,0.4313637641589873,0.9542425094393249,0.30102999566398114,0.30102999566398114,4.795831523312719,6.928203230275509,1.3038404810405297,2.8284271247461903,1.0
Parliament,"Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669877/parliament,1.7,-1,Boulder,V0,1,8.0,37.42232,-118.43364,106669877,0.0,21,6,3,41,1.3424226808222062,1.6232492903979003,0.4313637641589873,0.9542425094393249,0.30102999566398114,0.6020599913279623,4.58257569495584,6.4031242374328485,1.3038404810405297,2.8284271247461903,1.0
Problem A,"Shorty Boulder > Ice Caves, Outer Area > Sad Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106669883/problem-a,1.5,-1,Boulder,V0,1,8.0,37.42232,-118.43364,106669883,0.0,21,4,1,41,1.3424226808222062,1.6232492903979003,0.3979400086720376,0.9542425094393249,0.30102999566398114,0.30102999566398114,4.58257569495584,6.4031242374328485,1.224744871391589,2.8284271247461903,1.0
