route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
The Way Down,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106277533/the-way-down,1.3,-1,Boulder,V-easy,1,10,37.33004,-118.57901,106277533,-1,30,5,8,52
East Face,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107253304/east-face,1.9,-1,Boulder,V-easy,1,,37.32859,-118.57516,107253304,-1,14,4,8,30
Problem A,Roadside Boulder > Roadside Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936160/problem-a,1.7,-1,Boulder,V-easy,1,,37.3282,-118.5761,105936160,-1,12,3,4,28
Choke the Chicken,Chicken Head Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116715444/choke-the-chicken,2,-1,Boulder,V-easy,1,15,37.31826,-118.5744,116715444,-1,1,1,0,1
Unnamed VB,Fear Of A Black Planet Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114241135/unnamed-vb,2,-1,Boulder,V-easy,1,,37.32093,-118.57408,114241135,-1,2,1,0,2
Fear of a Black Planet,Fear Of A Black Planet Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114241141/fear-of-a-black-planet,2.5,-1,Boulder,V-easy,1,,37.32093,-118.57408,114241141,-1,2,1,1,2
Unnamed VB,Small Fruit Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114241186/unnamed-vb,2,-1,Boulder,V-easy,1,,37.32093,-118.57407,114241186,-1,1,1,0,2
Knobs and Flake,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054770/knobs-and-flake,1,-1,Boulder,V-easy,1,,37.31829,-118.5863,114054770,-1,1,1,0,0
Downclimb,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054774/downclimb,1,-1,Boulder,V-easy,1,,37.31829,-118.5863,114054774,-1,1,1,0,0
Unnamed  1,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032776/unnamed-1,2.2,-1,Boulder,V0-,1,18,37.32859,-118.57516,107032776,-0.25,41,6,11,87
