route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks
Problem A,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203708/problem-a,1.6,-1,Boulder,V-easy,1,,37.30698,-118.43702,107203708,-1,17,4,0,30
Problem B,Sacrificial Boulder > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107203712/problem-b,1.6,-1,Boulder,V-easy,1,,37.30698,-118.43702,107203712,-1,17,4,0,28
Tribal Wisdom,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032674/tribal-wisdom,2,-1,Boulder,V-easy R,1,20,37.30744,-118.43635,107032674,-0.75,1,2,0,4
Downclimb,Blood Kin Stone > Druid Stone Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593006/downclimb,2,-1,Boulder,V-easy,1,18,37.30744,-118.43635,108593006,-1,4,2,1,4
Quadraphenia,Morning Glory Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724224/quadraphenia,2,-1,Boulder,V-easy,1,25,37.30808,-118.43306,109724224,-1,2,2,1,2
Problem C,What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724323/problem-c,2,-1,Boulder,V-easy,1,12,37.30782,-118.43311,109724323,-1,1,1,1,2
Problem D,What's The Story Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724415/problem-d,2,-1,Boulder,V-easy,1,12,37.30782,-118.43311,109724415,-1,1,1,1,2
Problem A,Outer Banks Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724456/problem-a,1,-1,Boulder,V-easy,1,10,37.30774,-118.43238,109724456,-1,1,1,1,2
Problem B,Leaning Tower Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724474/problem-b,1,-1,Boulder,V-easy,1,10,37.30769,-118.43245,109724474,-1,1,1,1,3
Problem B,Patina Slab > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109724493/problem-b,1,-1,Boulder,V-easy,1,10,37.30754,-118.43258,109724493,-1,1,1,0,3
Scales,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731502/scales,2,-1,Boulder,V-easy,1,,37.30749,-118.43253,109731502,-1,1,1,1,2
The Eyes,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731518/the-eyes,3,-1,Boulder,V-easy,1,12,37.30749,-118.43253,109731518,-1,1,1,4,4
Problem B,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731525/problem-b,2,-1,Boulder,V-easy,1,10,37.30749,-118.43253,109731525,-1,1,1,1,2
Lip Traverse,Eyes Boulder > The Otherworld > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/109731541/lip-traverse,2,-1,Boulder,V-easy,1,15,37.30749,-118.43253,109731541,-1,1,1,2,2
Norse Crack,Norse Boulder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108538714/norse-crack,1,-1,Boulder,V-easy,1,10,37.30705,-118.43774,108538714,-1,3,2,0,8
Problem A,Norse Boulder > Long Ship Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/112792995/problem-a,1,-1,Boulder,V-easy,1,8,37.30705,-118.43774,112792995,-1,1,1,0,3
Galar,Granitic Boulder > Arch Drude Area > Druid Stones > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/108593116/galar,2,-1,Boulder,V-easy,1,16,37.30776,-118.4374,108593116,-1,1,1,1,2
