,Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,StarRatings,SuggestedRatings,OnToDoLists,Ticks
0,Sweetie Pie,Illicit Sweetie Boulder > The Hang > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106649376/sweetie-pie,2.8,-1,Boulder,V-easy,1,18.0,33.998020000000004,-116.15351000000001,69,13,208,159
1,Alright Arete,OK Corridor > Planet X Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105798072/alright-arete,2.6,-1,Boulder,V-easy R,1,22.0,33.99638,-116.15553,5,2,10,4
2,OK Face,OK Corridor > Planet X Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105798075/ok-face,1.0,-1,Boulder,V-easy R,1,18.0,33.99638,-116.15553,5,2,4,4
3,Unnamed 5.7,The Wedge > Planet X Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/116187768/unnamed-57,2.0,-1,Boulder,V-easy,1,,33.99662,-116.15592,2,1,1,2
4,Sportin' Wood,The Wood Block > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106641442/sportin-wood,1.5,-1,Boulder,V-easy,1,13.0,33.9966,-116.1554,4,3,10,6
5,Wood Rasp Arete,The Wood Block > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106642099/wood-rasp-arete,0.5,-1,Boulder,V-easy,1,12.0,33.9966,-116.1554,2,2,4,1
6,Diamonds and Guns,Transplants Boulder > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106655047/diamonds-and-guns,1.0,-1,Boulder,V-easy,1,10.0,33.9966,-116.1554,2,2,5,2
7,California Babylon,Transplants Boulder > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106655057/california-babylon,2.0,-1,Boulder,V-easy,1,10.0,33.9966,-116.1554,1,1,9,0
8,Rip it Up,Adolescents Block > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106670096/rip-it-up,1.0,-1,Boulder,V-easy,1,14.0,33.9966,-116.1554,2,2,3,2
9,Creatures,Adolescents Block > Love Nest Area > Planet X Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106670111/creatures,0.5,-1,Boulder,V-easy,1,14.0,33.9966,-116.1554,2,2,2,2
10,Fedora,The Hatrack > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/105725560/fedora,1.4,-1,Boulder,V-easy,1,10.0,33.98932,-116.16342,15,7,8,28
11,Porkpie,The Hatrack > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106159684/porkpie,1.7,-1,Boulder,V-easy,1,12.0,33.98932,-116.16342,21,7,11,29
12,Pillbox,The Hatrack > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106159689/pillbox,1.5,-1,Boulder,V-easy,1,14.0,33.98932,-116.16342,16,7,8,18
13,Bowler,The Hatrack > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106567965/bowler,1.0,-1,Boulder,V-easy,1,12.0,33.98932,-116.16342,3,3,7,4
14,Estimated Prophet,Ayatollah Boulder > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106318191/estimated-prophet,1.0,-1,Boulder,V-easy,1,15.0,33.98932,-116.16342,1,1,5,0
15,North Corner,Four Corners Boulder > Cap Rock Bouldering > *Joshua Tree Bouldering* > Joshua Tree National Park > California,https://www.mountainproject.com/route/106124525/north-corner,1.0,-1,Boulder,V-easy,1,12.0,33.98964,-116.16301999999999,5,4,6,9
