route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks,log_star_ratings,log_ticks,log_avg_stars,log_length,log_grade,log_on_to_do_lists,sqrt_star_ratings,sqrt_ticks,sqrt_avg_stars,sqrt_length,sqrt_grade
The Way Down,Birthday Boulders > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106277533/the-way-down,1.3,-1,Boulder,V-easy,1,10.0,37.330040000000004,-118.57901000000001,106277533,-1.0,30,5,8,52,1.4913616938342726,1.724275869600789,0.3617278360175928,1.041392685158225,0.0,0.9542425094393249,5.477225575051661,7.211102550927978,1.140175425099138,3.1622776601683795,0.0
East Face,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107253304/east-face,1.9,-1,Boulder,V-easy,1,,37.328590000000005,-118.57516000000001,107253304,-1.0,14,4,8,30,1.1760912590556811,1.4913616938342726,0.462397997898956,,0.0,0.9542425094393249,3.7416573867739413,5.477225575051661,1.378404875209022,,0.0
Problem A,Roadside Boulder > Roadside Area > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/105936160/problem-a,1.7,-1,Boulder,V-easy,1,,37.3282,-118.5761,105936160,-1.0,12,3,4,28,1.1139433523068367,1.462397997898956,0.4313637641589873,,0.0,0.6989700043360187,3.4641016151377544,5.291502622129181,1.3038404810405297,,0.0
Choke the Chicken,Chicken Head Boulder > Zeppelin Area > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/116715444/choke-the-chicken,2.0,-1,Boulder,V-easy,1,15.0,37.318259999999995,-118.5744,116715444,-1.0,1,1,0,1,0.30102999566398114,0.30102999566398114,0.47712125471966244,1.2041199826559246,0.0,0.0,1.0,1.0,1.4142135623730951,3.872983346207417,0.0
Unnamed VB,Fear Of A Black Planet Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114241135/unnamed-vb,2.0,-1,Boulder,V-easy,1,,37.32093,-118.57408000000001,114241135,-1.0,2,1,0,2,0.47712125471966244,0.47712125471966244,0.47712125471966244,,0.0,0.0,1.4142135623730951,1.4142135623730951,1.4142135623730951,,0.0
Fear of a Black Planet,Fear Of A Black Planet Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114241141/fear-of-a-black-planet,2.5,-1,Boulder,V-easy,1,,37.32093,-118.57408000000001,114241141,-1.0,2,1,1,2,0.47712125471966244,0.47712125471966244,0.5440680443502756,,0.0,0.30102999566398114,1.4142135623730951,1.4142135623730951,1.5811388300841898,,0.0
Unnamed VB,Small Fruit Boulder > Small Fruit > Dale's Camp > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114241186/unnamed-vb,2.0,-1,Boulder,V-easy,1,,37.32093,-118.57406999999999,114241186,-1.0,1,1,0,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,,0.0,0.0,1.0,1.4142135623730951,1.4142135623730951,,0.0
Knobs and Flake,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054770/knobs-and-flake,1.0,-1,Boulder,V-easy,1,,37.318290000000005,-118.5863,114054770,-1.0,1,1,0,0,0.30102999566398114,0.0,0.30102999566398114,,0.0,0.0,1.0,0.0,1.0,,0.0
Downclimb,Warmup Boulders > Bardini Boulders > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/114054774/downclimb,1.0,-1,Boulder,V-easy,1,,37.318290000000005,-118.5863,114054774,-1.0,1,1,0,0,0.30102999566398114,0.0,0.30102999566398114,,0.0,0.0,1.0,0.0,1.0,,0.0
Unnamed  1,Sunshine Boulder > Buttermilks Main > Buttermilk Country > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107032776/unnamed-1,2.2,-1,Boulder,V0-,1,18.0,37.328590000000005,-118.57516000000001,107032776,-0.25,41,6,11,87,1.6232492903979003,1.9444826721501687,0.5051499783199059,1.2787536009528289,0.24303804868629442,1.0791812460476247,6.4031242374328485,9.327379053088816,1.4832396974191326,4.242640687119285,0.8660254037844386
