route,location,url,avg_stars,your_stars,route_type,rating,pitches,length_,area_latitude,area_longitude,url_id,grade,star_ratings,suggested_ratings,on_to_do_lists,ticks,log_star_ratings,log_ticks,log_avg_stars,log_length,log_grade,log_on_to_do_lists,sqrt_star_ratings,sqrt_ticks,sqrt_avg_stars,sqrt_length,sqrt_grade
Time To Play (Variation 1),Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275368/time-to-play-variation-1,0.7,-1,Boulder,V-easy,1,8.0,37.41632,-118.44928,106275368,-1.0,3,1,2,6,0.6020599913279623,0.8450980400142567,0.23044892137827389,0.9542425094393249,0.0,0.47712125471966244,1.7320508075688772,2.449489742783178,0.8366600265340756,2.8284271247461903,0.0
All The Way Down,"More Water, Less Power Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106093066/all-the-way-down,1.7,-1,Boulder,V-easy,1,15.0,37.41724,-118.45103,106093066,-1.0,20,5,7,50,1.322219294733919,1.7075701760979363,0.4313637641589873,1.2041199826559246,0.0,0.9030899869919434,4.47213595499958,7.0710678118654755,1.3038404810405297,3.872983346207417,0.0
Hydra Pilferers,"More Water, Less Power Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California",https://www.mountainproject.com/route/106131947/hydra-pilferers,1.4,-1,Boulder,V-easy,1,12.0,37.41724,-118.45103,106131947,-1.0,26,10,4,51,1.4313637641589871,1.716003343634799,0.380211241711606,1.1139433523068367,0.0,0.6989700043360187,5.0990195135927845,7.14142842854285,1.1832159566199232,3.4641016151377544,0.0
Path,Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106093034/path,2.1,-1,Boulder,V-easy,1,20.0,37.41718,-118.45095,106093034,-1.0,29,10,11,65,1.4771212547196624,1.8195439355418683,0.49136169383427264,1.322219294733919,0.0,1.0791812460476247,5.385164807134504,8.06225774829855,1.449137674618944,4.47213595499958,0.0
Which Road,Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106093041/which-road,2.1,-1,Boulder,V-easy,1,15.0,37.41718,-118.45095,106093041,-1.0,94,28,56,218,1.9777236052888476,2.340444114840118,0.49136169383427264,1.2041199826559246,0.0,1.7558748556724912,9.695359714832659,14.7648230602334,1.449137674618944,3.872983346207417,0.0
Problem B,Flying Saucer Alcove > Blood Simple Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106997417/problem-b,1.0,-1,Boulder,V-easy,1,12.0,37.41675,-118.44941999999999,106997417,-1.0,1,1,0,3,0.30102999566398114,0.6020599913279623,0.30102999566398114,1.1139433523068367,0.0,0.0,1.0,1.7320508075688772,1.0,3.4641016151377544,0.0
Toffee Crack,The Cracks On The Rim Right Side > Cracks On The Rim Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106977850/toffee-crack,1.7,-1,Boulder,V-easy,1,12.0,37.416540000000005,-118.44872,106977850,-1.0,3,1,3,5,0.6020599913279623,0.7781512503836435,0.4313637641589873,1.1139433523068367,0.0,0.6020599913279623,1.7320508075688772,2.23606797749979,1.3038404810405297,3.4641016151377544,0.0
Problem A,Pig Pen Slab > Clapper Area > West Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106273745/problem-a,1.4,-1,Boulder,V-easy,1,10.0,37.41525,-118.44878,106273745,-1.0,5,2,2,15,0.7781512503836435,1.2041199826559246,0.380211241711606,1.041392685158225,0.0,0.47712125471966244,2.23606797749979,3.872983346207417,1.1832159566199232,3.1622776601683795,0.0
Margo's Arete,Savannah Boulder > Savannah Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106132040/margos-arete,1.7,-1,Boulder,V-easy,1,10.0,37.418,-118.45200000000001,106132040,-1.0,40,10,9,76,1.6127838567197355,1.8864907251724818,0.4313637641589873,1.041392685158225,0.0,1.0,6.324555320336759,8.717797887081348,1.3038404810405297,3.1622776601683795,0.0
Weak as Piss,Coors Boulder > Split Melon Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/107864789/weak-as-piss,0.9,-1,Boulder,V-easy,1,,37.41689,-118.4507,107864789,-1.0,7,3,0,12,0.9030899869919434,1.1139433523068367,0.2787536009528289,,0.0,0.0,2.6457513110645907,3.4641016151377544,0.9486832980505138,,0.0
Time To Go,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275325/time-to-go,1.7,-1,Boulder,V0-,1,15.0,37.41632,-118.44928,106275325,-0.25,6,1,5,9,0.8450980400142567,1.0,0.4313637641589873,1.2041199826559246,0.24303804868629442,0.7781512503836435,2.449489742783178,3.0,1.3038404810405297,3.872983346207417,0.8660254037844386
Wolverine,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275332/wolverine,1.2,-1,Boulder,V0-,1,15.0,37.41632,-118.44928,106275332,-0.25,6,1,6,10,0.8450980400142567,1.041392685158225,0.3424226808222062,1.2041199826559246,0.24303804868629442,0.8450980400142567,2.449489742783178,3.1622776601683795,1.0954451150103321,3.872983346207417,0.8660254037844386
Time To Play,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275356/time-to-play,2.1,-1,Boulder,V0-,1,10.0,37.41632,-118.44928,106275356,-0.25,7,2,7,13,0.9030899869919434,1.1461280356782377,0.49136169383427264,1.041392685158225,0.24303804868629442,0.9030899869919434,2.6457513110645907,3.605551275463989,1.449137674618944,3.1622776601683795,0.8660254037844386
Time To Play - Variation 2,Corner Boulder > Slow Dance/Gleaner Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106275378/time-to-play-variation-2,1.0,-1,Boulder,V0-,1,10.0,37.41632,-118.44928,106275378,-0.25,3,1,3,7,0.6020599913279623,0.9030899869919434,0.30102999566398114,1.041392685158225,0.24303804868629442,0.6020599913279623,1.7320508075688772,2.6457513110645907,1.0,3.1622776601683795,0.8660254037844386
X-Static,Happy Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106086103/x-static,1.9,-1,Boulder,V0-,1,15.0,37.41747,-118.45136000000001,106086103,-0.25,12,7,11,24,1.1139433523068367,1.3979400086720375,0.462397997898956,1.2041199826559246,0.24303804868629442,1.0791812460476247,3.4641016151377544,4.898979485566356,1.378404875209022,3.872983346207417,0.8660254037844386
Celestial Trail,Heavenly Path Boulder > Central Happiness Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106093004/celestial-trail,3.0,-1,Boulder,V0- PG13,1,25.0,37.41718,-118.45095,106093004,-0.25,217,53,80,421,2.3384564936046046,2.625312450961674,0.6020599913279623,1.414973347970818,0.24303804868629442,1.9084850188786497,14.730919862656235,20.518284528683193,1.7320508075688772,5.0,0.8660254037844386
One Note Sample,One Note Boulder > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106976636/one-note-sample,2.0,-1,Boulder,V0-,1,15.0,37.41728,-118.45034,106976636,-0.25,1,1,1,2,0.30102999566398114,0.47712125471966244,0.47712125471966244,1.2041199826559246,0.24303804868629442,0.30102999566398114,1.0,1.4142135623730951,1.4142135623730951,3.872983346207417,0.8660254037844386
Loop,One Note Boulder > Action Figure Area > East Rim Area > Happy Boulders > Volcanic Tablelands (Happy/Sad Boulders) > Bishop Area > Sierra Eastside > California,https://www.mountainproject.com/route/106976643/loop,1.0,-1,Boulder,V0-,1,12.0,37.41728,-118.45034,106976643,-0.25,1,1,0,2,0.30102999566398114,0.47712125471966244,0.30102999566398114,1.1139433523068367,0.24303804868629442,0.0,1.0,1.4142135623730951,1.0,3.4641016151377544,0.8660254037844386
